Stock Price, Call Spread UB, Call Spread LB, Call Spread MID, BSB Call Spread UB, BSB Call Spread LB
1,0,0,0,0,0
6,0,0,0,2.6668e-11,4.17767e-71
11,0,0,0,8.1849e-07,5.67004e-47
16,0,0,0,0.000123933,4.48992e-34
21,0,0,0,0.00230449,1.46002e-25
26,0,0,0,0.0178503,2.40982e-19
31,0,0,0,0.0748257,7.87768e-15
36,0,0,0,0.221214,2.69669e-11
41,0,0,0,0.513831,1.44486e-08
46,0,0,0,0.992337,2.28696e-06
51,0,0,0,1.66068,9.20453e-05
56,0,0,0,2.61322,0.00268931
61,0,0,0,3.77415,0.0281388
66,0,0,0,5.09513,0.145822
71,0,0,0,6.51775,0.355594
76,0,0,0,8.00807,0.53623
81,1,1,1,9.80957,0.759543
86,6,6,6,11.2476,0.827008
91,11,11,11,12.7599,0.953887
96,16,16,16,13.145,0.973194
101,19,19,19,12.7796,0.898906
106,14,14,14,12.0355,0.864595
111,9,9,9,11.2271,0.797005
116,4,4,4,10.4036,0.671962
121,0,0,0,9.54067,0.538644
126,0,0,0,8.70072,0.386651
131,0,0,0,7.93674,0.234958
136,0,0,0,7.1729,0.121857
141,0,0,0,6.46445,0.0558592
146,0,0,0,5.77352,0.0228591
151,0,0,0,5.19882,0.00836731
156,0,0,0,4.6411,0.0039382
161,0,0,0,4.21224,0.0016176
166,0,0,0,3.80356,0.000572105
171,0,0,0,3.33634,0.000174886
176,0,0,0,2.99312,7.10885e-05
181,0,0,0,2.69978,2.73532e-05
186,0,0,0,2.37908,8.10681e-06
191,0,0,0,2.12333,2.87832e-06
196,0,0,0,1.90963,1.14167e-06
201,0,0,0,1.66978,3.09433e-07
206,0,0,0,1.49556,1.31762e-07
211,0,0,0,1.3483,4.3189e-08
216,0,0,0,1.16291,1.18807e-08
221,0,0,0,1.058,5.56964e-09
226,0,0,0,0.938152,1.3503e-09
231,0,0,0,0.828957,6.89724e-10
236,0,0,0,0.727775,1.78329e-10
241,0,0,0,0.654481,8.49816e-11
246,0,0,0,0.586097,2.28735e-11
251,0,0,0,0.511711,1.07263e-11
256,0,0,0,0.45275,2.87544e-12
261,0,0,0,0.407457,1.40074e-12
266,0,0,0,0.364787,3.54301e-13
271,0,0,0,0.32106,1.86685e-13
276,0,0,0,0.278993,4.25467e-14
281,0,0,0,0.254839,2.47272e-14
286,0,0,0,0.2269,5.91522e-15
291,0,0,0,0.203578,3.17437e-15
296,0,0,0,0.175016,1.25022e-15
301,0,0,0,0.156722,3.87728e-16
