Stock Price, Call UB, Call LB, Call MID, BSB Call UB, BSB Call LB
0,0,0,0,0,0
5,6.67853e-13,0,0,4.61652e-14,3.65678e-85
10,7.9375e-08,0,0,3.5433e-08,8.90302e-55
15,1.96501e-05,0,1.9541e-12,1.42509e-05,6.45543e-40
20,0.000549776,0,4.97995e-09,0.000459232,1.67313e-30
25,0.00527118,0,9.15578e-07,0.00491912,1.2405e-23
30,0.0272357,0,3.71839e-05,0.0256509,9.55448e-19
35,0.0949404,0,0.000580579,0.0924087,1.01457e-14
40,0.253242,9.22539e-15,0.00475143,0.253268,1.00972e-11
45,0.558122,5.74231e-11,0.0246132,0.54887,3.92561e-09
50,1.06816,4.27002e-08,0.0911882,1.07203,6.15078e-07
55,1.83626,6.82941e-06,0.262511,1.84969,2.45135e-05
60,2.90383,0.000335899,0.622543,2.92391,0.000676949
65,4.29804,0.00660558,1.26891,4.32613,0.00890067
70,6.0316,0.0633882,2.29429,6.06882,0.0661253
75,8.10448,0.346872,3.76907,8.14437,0.359042
80,10.5064,1.22661,5.73107,10.5282,1.24164
85,13.2194,3.10515,8.18401,13.2298,3.0986
90,16.2207,6.12447,11.1024,16.2773,6.14855
95,19.4847,10.0837,14.4404,19.5386,10.1389
100,22.9848,14.6288,18.1408,22.998,14.6798
105,26.6947,19.4613,22.1434,26.7626,19.5175
110,30.5893,24.4084,26.3904,30.6257,24.4675
115,34.6451,29.3938,30.8301,34.7075,29.4532
120,38.8408,34.3903,35.4184,38.8941,34.4508
125,43.1571,39.3895,40.1192,43.2181,39.4518
130,47.577,44.3894,44.9039,47.6335,44.4539
135,52.0855,49.3894,49.7503,52.1522,49.4562
140,56.6696,54.3894,54.6413,56.7224,54.4585
145,61.3179,59.3894,59.5646,61.3913,59.4608
150,66.0207,64.3894,64.5109,66.0646,64.4632
155,70.7696,69.3894,69.4734,70.845,69.4656
160,75.5576,74.3894,74.4473,75.6253,74.468
165,80.3786,79.3894,79.4293,80.4489,79.4704
170,85.2275,84.3894,84.4168,85.3086,84.4728
175,90.0998,89.3894,89.4082,90.1683,89.4752
180,94.992,94.3894,94.4023,95.0737,94.4776
185,99.9008,99.3894,99.3983,99.9877,99.48
190,104.824,104.389,104.395,104.902,104.482
195,109.759,109.389,109.394,109.848,109.485
