Stock Price, Call Spread UB, Call Spread LB, Call Spread MID, BSB Call Spread UB, BSB Call Spread LB
5,2.74959e-27,-1.9848e-29,0,0,0
10,1.31384e-15,-5.15323e-17,3.09441e-42,1.5559e-16,1.32485e-95
15,1.53753e-10,-1.10211e-11,1.78287e-26,6.41738e-11,2.82346e-69
20,1.26245e-07,-1.34377e-08,1.68739e-18,7.92534e-08,6.48109e-53
25,9.63813e-06,-1.54344e-06,1.7412e-13,7.89195e-06,3.11639e-41
30,0.000226701,-4.25774e-05,4.12287e-10,0.000181895,1.18311e-32
35,0.00226566,-0.000531969,1.16758e-07,0.00196003,9.12602e-26
40,0.0131598,-0.00364633,7.43451e-06,0.0112433,2.32708e-20
45,0.0529173,-0.0168016,0.000173179,0.0448262,5.47864e-16
50,0.161192,-0.0587971,0.00198149,0.129656,1.72713e-12
55,0.398741,-0.16016,0.0132454,0.315894,1.76786e-09
60,0.8388,-0.374344,0.0585965,0.642506,4.51106e-07
65,1.56519,-0.757671,0.189244,1.13679,4.2755e-05
70,2.65091,-1.37053,0.481835,1.79934,0.00123753
75,4.13962,-2.2629,1.00845,2.70743,0.025848
80,6.03281,-3.29151,1.7943,3.77639,0.197842
85,8.33762,-3.8748,2.78953,4.90338,0.769479
90,10.7118,-3.43941,3.91787,6.14581,1.76648
95,12.6617,-1.96437,5.09579,7.4667,2.83118
100,13.584,-0.0640561,6.18736,8.66191,3.85156
105,13.5176,1.72384,7.12411,9.34259,4.73882
110,12.9429,3.27627,7.87889,9.63874,5.5288
115,12.2867,4.57154,8.46636,9.72875,6.31571
120,11.7062,5.63387,8.89993,9.74828,6.8831
125,11.2411,6.49565,9.20375,9.75232,7.45338
130,10.8796,7.18887,9.40397,9.75299,7.89767
135,10.6016,7.74294,9.54122,9.75308,8.2555
140,10.389,8.18378,9.62304,9.7531,8.56943
145,10.2308,8.53346,9.67648,9.7531,8.82981
150,10.1129,8.81027,9.70842,9.7531,9.00366
155,10.023,9.02587,9.72714,9.7531,9.1701
160,9.95438,9.18713,9.73844,9.7531,9.2956
165,9.90191,9.31531,9.74505,9.7531,9.39773
170,9.86366,9.41731,9.74856,9.7531,9.47807
175,9.83632,9.49798,9.75058,9.7531,9.53878
180,9.81484,9.55437,9.75172,9.7531,9.5883
185,9.79813,9.6005,9.75235,9.7531,9.62492
190,9.78728,9.63786,9.7527,9.7531,9.65428
195,9.77846,9.66347,9.75288,9.7531,9.67711
200,9.7716,9.6845,9.75298,9.7531,9.69384
205,9.76718,9.70133,9.75304,9.7531,9.70859
