Strike, Long Call Prices, Long Put Prices
0,0,0
5,0,0
10,0,0
15,0,0
20,0,0
25,0,0
30,0,0
35,0,0
40,0,0
45,0,0
50,0,-1.08292e-15
55,0,3.99521e-14
60,0,1.6414e-12
65,0,4.3442e-11
70,0,7.56969e-10
75,0,9.30764e-09
80,0,8.53358e-08
85,0,6.09589e-07
90,0,3.51547e-06
95,0,1.68498e-05
100,0,6.8757e-05
105,0,0.000243709
110,0,0.000763153
115,0,0.00214182
120,0,0.00545423
125,0,0.0127369
130,0,0.0275276
135,0,0.0555039
140,0,0.105142
145,0,0.188284
150,0,0.320484
155,0,0.521025
160,0,0.812551
165,0,1.22028
170,0,1.7709
175,0,2.49118
180,0,3.40657
185,0,4.5398
190,0,5.90968
195,0,7.53027
200,nan,9.41035
205,5,11.5533
210,10,13.9573
215,15,16.6156
220,20,19.5176
225,25,22.6493
230,30,25.9943
235,35,29.5345
240,40,33.2512
245,45,37.1255
250,50,41.1388
255,55,45.2737
260,60,49.5136
265,65,53.8436
270,70,58.2499
275,75,62.7205
280,80,67.245
285,85,71.814
290,90,76.4198
295,95,81.0557
300,100,85.7161
305,105,90.3963
310,110,95.0925
315,115,99.8014
320,120,104.521
325,125,109.248
330,130,113.981
335,135,118.72
340,140,123.463
345,145,128.208
350,150,132.956
355,155,137.706
360,160,142.458
365,165,147.21
370,170,151.964
375,175,156.718
380,180,161.472
385,185,166.227
390,190,170.982
395,195,175.738
400,200,180.493
405,205,185.249
410,210,190.005
415,215,194.761
420,220,199.517
425,225,204.273
430,230,209.029
435,235,213.785
440,240,218.541
445,245,223.297
450,250,228.053
455,255,232.809
460,260,237.566
465,265,242.322
470,270,247.078
475,275,251.834
480,280,256.59
485,285,261.346
490,290,266.102
495,295,270.859
500,300,275.615
