Stock Price, Call Spread UB, Call Spread LB, Call Spread MID, BSB Call Spread UB, BSB Call Spread LB
0,85.6106,85.6106,85.6106,85.6106,85.6106
5,80.6106,80.6106,80.6106,80.6082,80.6082
10,75.6106,75.6106,75.6106,75.6058,75.6057
15,70.6107,70.6106,70.6106,70.6033,70.6032
20,65.6113,65.6106,65.6106,65.6014,65.6007
25,60.6168,60.6106,60.6106,60.6041,60.5982
30,55.6433,55.6107,55.6106,55.6267,55.5957
35,50.7279,50.6112,50.6106,50.7074,50.5932
40,45.9323,45.6156,45.6106,45.909,45.5907
45,41.3389,40.6369,40.6106,41.3068,40.5882
50,37.0406,35.7099,35.6106,37.0168,35.5857
55,33.1291,30.9032,30.6107,33.1043,30.5832
60,29.6849,26.3229,25.611,29.6648,25.5814
65,26.7716,22.1035,20.6173,26.7564,20.5871
70,24.4319,18.3902,15.6741,24.4175,15.642
75,22.6884,15.3163,10.9585,22.6957,10.934
80,21.5455,12.9859,6.84745,21.5588,6.82652
85,20.9921,11.4632,3.7805,21.0037,3.73864
90,21.0052,10.7702,2.01494,21.0303,2.00979
95,21.5534,10.8906,1.57949,21.5924,1.6085
100,22.5997,11.7778,2.41344,22.6281,2.39524
105,24.104,13.3643,4.4367,24.1244,4.41808
110,26.0252,15.5706,7.50449,26.0768,7.53827
115,28.3226,18.3132,11.3831,28.3735,11.4456
120,30.957,21.5099,15.804,31.017,15.8787
125,33.8915,25.0842,20.5372,33.9491,20.614
130,37.0916,28.9676,25.4267,37.1543,25.5016
135,40.5261,33.1002,30.3853,40.5814,30.4582
140,44.1662,37.4316,35.3711,44.231,35.4434
145,47.9865,41.9197,40.3666,48.0266,40.4397
150,51.9641,46.53,45.3652,52.0215,45.4401
155,56.0786,51.2349,50.3649,56.1233,50.442
160,60.3123,56.0126,55.3648,60.3802,55.4441
165,64.6494,60.8458,60.3648,64.7199,60.4464
170,69.076,65.7211,65.3648,69.1254,65.4487
175,73.5803,70.6282,70.3648,73.6516,70.4511
180,78.1517,75.5592,75.3648,78.2234,75.4534
185,82.7812,80.508,80.3648,82.8464,80.4558
190,87.4608,85.4702,85.3648,87.5383,85.4582
195,92.1837,90.4423,90.3648,92.2627,90.4606
